"election_cycle","report_date","region","elections","keyword","spend_usd"
"US-Federal-2018",2019-01-21,"US","US-Federal","rick scott",494600
"US-Federal-2018",2019-01-14,"US","US-Federal","rick scott",494600
"US-Federal-2018",2019-01-07,"US","US-Federal","rick scott",494600
"US-Federal-2018",2018-12-10,"US","US-Federal","rick scott",490200
"US-Federal-2018",2018-12-03,"US","US-Federal","rick scott",494600
"US-Federal-2018",2018-11-26,"US","US-Federal","rick scott",494600
"US-Federal-2018",2018-11-19,"US","US-Federal","rick scott",494600
"US-Federal-2018",2018-11-12,"US","US-Federal","rick scott",494600
"US-Federal-2018",2018-11-05,"US","US-Federal","rick scott",490400
"US-Federal-2018",2018-10-29,"US","US-Federal","rick scott",464600
"US-Federal-2018",2018-10-22,"US","US-Federal","rick scott",390900
"US-Federal-2018",2018-10-15,"US","US-Federal","rick scott",330700
"US-Federal-2018",2018-10-09,"US","US-Federal","rick scott",287300
"US-Federal-2018",2018-10-01,"US","US-Federal","rick scott",232000
"US-Federal-2018",2018-09-24,"US","US-Federal","rick scott",199300
"US-Federal-2018",2018-09-17,"US","US-Federal","rick scott",165500
"US-Federal-2018",2018-09-10,"US","US-Federal","rick scott",108900
"US-Federal-2018",2018-09-03,"US","US-Federal","rick scott",108400
"US-Federal-2018",2018-08-27,"US","US-Federal","rick scott",95800
"US-Federal-2018",2018-08-13,"US","US-Federal","diane black",37500
"US-Federal-2018",2019-12-02,"US","US-Federal","kamala harris",1491100
"US-Federal-2018",2019-11-25,"US","US-Federal","kamala harris",1479900
"US-Federal-2018",2019-11-20,"US","US-Federal","kamala harris",1469600
"US-Federal-2018",2019-11-18,"US","US-Federal","kamala harris",1466600
"US-Federal-2018",2019-11-11,"US","US-Federal","kamala harris",1452300
"US-Federal-2018",2019-11-04,"US","US-Federal","kamala harris",1430200
"US-Federal-2018",2019-10-28,"US","US-Federal","kamala harris",1408200
"US-Federal-2018",2019-10-21,"US","US-Federal","kamala harris",1385600
"US-Federal-2018",2019-10-14,"US","US-Federal","kamala harris",1337200
"US-Federal-2018",2019-10-07,"US","US-Federal","kamala harris",1284900
"US-Federal-2018",2019-09-30,"US","US-Federal","kamala harris",1243600
"US-Federal-2018",2019-09-23,"US","US-Federal","kamala harris",1210900
"US-Federal-2018",2019-09-16,"US","US-Federal","kamala harris",1160700
"US-Federal-2018",2019-09-02,"US","US-Federal","pete buttigieg",1026700
"US-Federal-2018",2019-08-26,"US","US-Federal","pete buttigieg",979600
"US-Federal-2018",2019-08-19,"US","US-Federal","pete buttigieg",928700
"US-Federal-2018",2019-08-12,"US","US-Federal","pete buttigieg",869600
"US-Federal-2018",2019-08-05,"US","US-Federal","pete buttigieg",828200
"US-Federal-2018",2019-07-29,"US","US-Federal","beto o rourke",745000
"US-Federal-2018",2019-07-22,"US","US-Federal","pete buttigieg",726100
"US-Federal-2018",2019-07-15,"US","US-Federal","pete buttigieg",704600
"US-Federal-2018",2019-07-08,"US","US-Federal","pete buttigieg",679800
"US-Federal-2018",2019-07-01,"US","US-Federal","pete buttigieg",658200
"US-Federal-2018",2019-06-24,"US","US-Federal","pete buttigieg",639200
"US-Federal-2018",2019-06-17,"US","US-Federal","pete buttigieg",639100
"US-Federal-2018",2019-06-10,"US","US-Federal","pete buttigieg",639100
"US-Federal-2018",2019-06-03,"US","US-Federal","pete buttigieg",639000
"US-Federal-2018",2019-05-27,"US","US-Federal","pete buttigieg",637800
"US-Federal-2018",2019-05-20,"US","US-Federal","pete buttigieg",635300
"US-Federal-2018",2019-05-13,"US","US-Federal","pete buttigieg",632100
"US-Federal-2018",2019-05-06,"US","US-Federal","rick scott",630800
"US-Federal-2018",2019-04-29,"US","US-Federal","rick scott",629600
"US-Federal-2018",2019-04-22,"US","US-Federal","rick scott",627800
"US-Federal-2018",2019-04-15,"US","US-Federal","rick scott",626600
"US-Federal-2018",2019-04-08,"US","US-Federal","rick scott",625000
"US-Federal-2018",2019-04-01,"US","US-Federal","rick scott",622600
"US-Federal-2018",2019-03-25,"US","US-Federal","rick scott",620400
"US-Federal-2018",2019-03-24,"US","US-Federal","rick scott",614700
"US-Federal-2018",2019-03-18,"US","US-Federal","elizabeth warren",559600
"US-Federal-2018",2019-03-11,"US","US-Federal","elizabeth warren",496400
"US-Federal-2018",2019-02-24,"US","US-Federal","elizabeth warren",494600
"US-Federal-2018",2019-02-18,"US","US-Federal","elizabeth warren",494600
"US-Federal-2018",2019-02-11,"US","US-Federal","elizabeth warren",494600
"US-Federal-2018",2019-02-04,"US","US-Federal","elizabeth warren",494600
"US-Federal-2018",2019-01-28,"US","US-Federal","elizabeth warren",494600
"US-Federal-2018",2019-01-21,"US","US-Federal","elizabeth warren",494600
"US-Federal-2018",2019-01-14,"US","US-Federal","ted cruz",494600
"US-Federal-2018",2019-01-07,"US","US-Federal","ted cruz",494600
"US-Federal-2018",2018-12-10,"US","US-Federal","ted cruz",490200
"US-Federal-2018",2018-12-03,"US","US-Federal","ted cruz",494600
"US-Federal-2018",2018-11-26,"US","US-Federal","ted cruz",494600
"US-Federal-2018",2018-11-19,"US","US-Federal","ted cruz",494600
"US-Federal-2018",2018-11-12,"US","US-Federal","ted cruz",494600
"US-Federal-2018",2018-11-05,"US","US-Federal","ted cruz",490400
"US-Federal-2018",2018-10-29,"US","US-Federal","beto",464600
"US-Federal-2018",2018-10-22,"US","US-Federal","beto",390900
"US-Federal-2018",2018-10-15,"US","US-Federal","phil bredesen",330700
"US-Federal-2018",2018-10-09,"US","US-Federal","heidi heitkamp",287300
"US-Federal-2018",2018-10-01,"US","US-Federal","josh hawley",232000
"US-Federal-2018",2018-09-24,"US","US-Federal","aclu",199300
"US-Federal-2018",2018-09-17,"US","US-Federal","aclu",165500
"US-Federal-2018",2018-09-10,"US","US-Federal","beto o'rourke",108900
"US-Federal-2018",2018-09-03,"US","US-Federal","beto o'rourke",108400
"US-Federal-2018",2018-08-27,"US","US-Federal","beto o'rourke",95800
"US-Federal-2018",2018-08-13,"US","US-Federal","ron desantis",37500
"US-Federal-2018",2019-12-02,"US","US-Federal","tulsi gabbard",1491100
"US-Federal-2018",2019-11-25,"US","US-Federal","tulsi gabbard",1479900
"US-Federal-2018",2019-11-20,"US","US-Federal","tulsi gabbard",1469600
"US-Federal-2018",2019-11-18,"US","US-Federal","tulsi gabbard",1466600
"US-Federal-2018",2019-11-11,"US","US-Federal","tulsi gabbard",1452300
"US-Federal-2018",2019-11-04,"US","US-Federal","beto o rourke",1430200
"US-Federal-2018",2019-10-28,"US","US-Federal","beto o rourke",1408200
"US-Federal-2018",2019-10-21,"US","US-Federal","beto o rourke",1385600
"US-Federal-2018",2019-10-14,"US","US-Federal","beto o rourke",1337200
"US-Federal-2018",2019-10-07,"US","US-Federal","beto o rourke",1284900
"US-Federal-2018",2019-09-30,"US","US-Federal","beto o rourke",1243600
"US-Federal-2018",2019-09-23,"US","US-Federal","beto o rourke",1210900
"US-Federal-2018",2019-09-16,"US","US-Federal","beto o rourke",1160700
"US-Federal-2018",2019-09-02,"US","US-Federal","beto o rourke",1026700
"US-Federal-2018",2019-08-26,"US","US-Federal","beto o rourke",979600
"US-Federal-2018",2019-08-19,"US","US-Federal","beto o rourke",928700
"US-Federal-2018",2019-08-12,"US","US-Federal","beto o rourke",869600
"US-Federal-2018",2019-08-05,"US","US-Federal","beto o rourke",828200
"US-Federal-2018",2019-07-29,"US","US-Federal","kamala harris",745000
"US-Federal-2018",2019-07-22,"US","US-Federal","kamala harris",726100
"US-Federal-2018",2019-07-15,"US","US-Federal","kamala harris",704600
"US-Federal-2018",2019-07-08,"US","US-Federal","kamala harris",679800
"US-Federal-2018",2019-07-01,"US","US-Federal","kamala harris",658200
"US-Federal-2018",2019-06-24,"US","US-Federal","joe biden",639200
"US-Federal-2018",2019-06-17,"US","US-Federal","rick scott",639100
"US-Federal-2018",2019-06-10,"US","US-Federal","rick scott",639100
"US-Federal-2018",2019-06-03,"US","US-Federal","rick scott",639000
"US-Federal-2018",2019-05-27,"US","US-Federal","rick scott",637800
"US-Federal-2018",2019-05-20,"US","US-Federal","rick scott",635300
"US-Federal-2018",2019-05-13,"US","US-Federal","rick scott",632100
"US-Federal-2018",2019-05-06,"US","US-Federal","pete buttigieg",630800
"US-Federal-2018",2019-04-29,"US","US-Federal","pete buttigieg",629600
"US-Federal-2018",2019-04-22,"US","US-Federal","pete buttigieg",627800
"US-Federal-2018",2019-04-15,"US","US-Federal","beto",626600
"US-Federal-2018",2019-04-08,"US","US-Federal","beto",625000
"US-Federal-2018",2019-04-01,"US","US-Federal","beto",622600
"US-Federal-2018",2019-03-25,"US","US-Federal","beto",620400
"US-Federal-2018",2019-03-24,"US","US-Federal","beto",614700
"US-Federal-2018",2019-03-18,"US","US-Federal","beto",559600
"US-Federal-2018",2019-03-11,"US","US-Federal","ted cruz",496400
"US-Federal-2018",2019-02-24,"US","US-Federal","ted cruz",494600
"US-Federal-2018",2019-02-18,"US","US-Federal","ted cruz",494600
"US-Federal-2018",2019-02-11,"US","US-Federal","ted cruz",494600
"US-Federal-2018",2019-02-04,"US","US-Federal","ted cruz",494600
"US-Federal-2018",2019-01-28,"US","US-Federal","ted cruz",494600
"US-Federal-2018",2019-01-21,"US","US-Federal","ted cruz",494600
"US-Federal-2018",2019-01-14,"US","US-Federal","bill nelson",494600
"US-Federal-2018",2019-01-07,"US","US-Federal","bill nelson",494600
"US-Federal-2018",2018-12-10,"US","US-Federal","bill nelson",490200
"US-Federal-2018",2018-12-03,"US","US-Federal","bill nelson",494600
"US-Federal-2018",2018-11-26,"US","US-Federal","josh hawley",494600
"US-Federal-2018",2018-11-19,"US","US-Federal","josh hawley",494600
"US-Federal-2018",2018-11-12,"US","US-Federal","josh hawley",494600
"US-Federal-2018",2018-11-05,"US","US-Federal","josh hawley",490400
"US-Federal-2018",2018-10-29,"US","US-Federal","ted cruz",464600
"US-Federal-2018",2018-10-22,"US","US-Federal","phil bredesen",390900
"US-Federal-2018",2018-10-15,"US","US-Federal","heidi heitkamp",330700
"US-Federal-2018",2018-10-09,"US","US-Federal","ted cruz",287300
"US-Federal-2018",2018-10-01,"US","US-Federal","aclu",232000
"US-Federal-2018",2018-09-24,"US","US-Federal","ron desantis",199300
"US-Federal-2018",2018-09-17,"US","US-Federal","ron desantis",165500
"US-Federal-2018",2018-09-10,"US","US-Federal","beto o rourke",108900
"US-Federal-2018",2018-09-03,"US","US-Federal","beto o rourke",108400
"US-Federal-2018",2018-08-27,"US","US-Federal","aclu",95800
"US-Federal-2018",2018-08-13,"US","US-Federal","beto o'rourke",37500
"US-Federal-2018",2019-12-02,"US","US-Federal","donald trump",1491100
"US-Federal-2018",2019-11-25,"US","US-Federal","donald trump",1479900
"US-Federal-2018",2019-11-20,"US","US-Federal","beto o rourke",1469600
"US-Federal-2018",2019-11-18,"US","US-Federal","beto o rourke",1466600
"US-Federal-2018",2019-11-11,"US","US-Federal","beto o rourke",1452300
"US-Federal-2018",2019-11-04,"US","US-Federal","tulsi gabbard",1430200
"US-Federal-2018",2019-10-28,"US","US-Federal","tulsi gabbard",1408200
"US-Federal-2018",2019-10-21,"US","US-Federal","tulsi gabbard",1385600
"US-Federal-2018",2019-10-14,"US","US-Federal","donald trump",1337200
"US-Federal-2018",2019-10-07,"US","US-Federal","tulsi gabbard",1284900
"US-Federal-2018",2019-09-30,"US","US-Federal","tulsi gabbard",1243600
"US-Federal-2018",2019-09-23,"US","US-Federal","tulsi gabbard",1210900
"US-Federal-2018",2019-09-16,"US","US-Federal","tulsi gabbard",1160700
"US-Federal-2018",2019-09-02,"US","US-Federal","tulsi gabbard",1026700
"US-Federal-2018",2019-08-26,"US","US-Federal","tulsi gabbard",979600
"US-Federal-2018",2019-08-19,"US","US-Federal","tulsi gabbard",928700
"US-Federal-2018",2019-08-12,"US","US-Federal","tulsi gabbard",869600
"US-Federal-2018",2019-08-05,"US","US-Federal","tulsi gabbard",828200
"US-Federal-2018",2019-07-29,"US","US-Federal","joe biden",745000
"US-Federal-2018",2019-07-22,"US","US-Federal","joe biden",726100
"US-Federal-2018",2019-07-15,"US","US-Federal","joe biden",704600
"US-Federal-2018",2019-07-08,"US","US-Federal","joe biden",679800
"US-Federal-2018",2019-07-01,"US","US-Federal","joe biden",658200
"US-Federal-2018",2019-06-24,"US","US-Federal","rick scott",639200
"US-Federal-2018",2019-06-17,"US","US-Federal","joe biden",639100
"US-Federal-2018",2019-06-10,"US","US-Federal","joe biden",639100
"US-Federal-2018",2019-06-03,"US","US-Federal","joe biden",639000
"US-Federal-2018",2019-05-27,"US","US-Federal","joe biden",637800
"US-Federal-2018",2019-05-20,"US","US-Federal","joe biden",635300
"US-Federal-2018",2019-05-13,"US","US-Federal","joe biden",632100
"US-Federal-2018",2019-05-06,"US","US-Federal","joe biden",630800
"US-Federal-2018",2019-04-29,"US","US-Federal","beto",629600
"US-Federal-2018",2019-04-22,"US","US-Federal","beto",627800
"US-Federal-2018",2019-04-15,"US","US-Federal","aclu",626600
"US-Federal-2018",2019-04-08,"US","US-Federal","aclu",625000
"US-Federal-2018",2019-04-01,"US","US-Federal","aclu",622600
"US-Federal-2018",2019-03-25,"US","US-Federal","aclu",620400
"US-Federal-2018",2019-03-24,"US","US-Federal","aclu",614700
"US-Federal-2018",2019-03-18,"US","US-Federal","vote",559600
"US-Federal-2018",2019-03-11,"US","US-Federal","aclu",496400
"US-Federal-2018",2019-02-24,"US","US-Federal","bill nelson",494600
"US-Federal-2018",2019-02-18,"US","US-Federal","bill nelson",494600
"US-Federal-2018",2019-02-11,"US","US-Federal","bill nelson",494600
"US-Federal-2018",2019-02-04,"US","US-Federal","bill nelson",494600
"US-Federal-2018",2019-01-28,"US","US-Federal","bill nelson",494600
"US-Federal-2018",2019-01-21,"US","US-Federal","bill nelson",494600
"US-Federal-2018",2019-01-14,"US","US-Federal","elizabeth warren",494600
"US-Federal-2018",2019-01-07,"US","US-Federal","heidi heitkamp",494600
"US-Federal-2018",2018-12-10,"US","US-Federal","josh hawley",490200
"US-Federal-2018",2018-12-03,"US","US-Federal","heidi heitkamp",494600
"US-Federal-2018",2018-11-26,"US","US-Federal","bill nelson",494600
"US-Federal-2018",2018-11-19,"US","US-Federal","bill nelson",494600
"US-Federal-2018",2018-11-12,"US","US-Federal","bill nelson",494600
"US-Federal-2018",2018-11-05,"US","US-Federal","beto",490400
"US-Federal-2018",2018-10-29,"US","US-Federal","phil bredesen",464600
"US-Federal-2018",2018-10-22,"US","US-Federal","ted cruz",390900
"US-Federal-2018",2018-10-15,"US","US-Federal","ted cruz",330700
"US-Federal-2018",2018-10-09,"US","US-Federal","phil bredesen",287300
"US-Federal-2018",2018-10-01,"US","US-Federal","ted cruz",232000
"US-Federal-2018",2018-09-24,"US","US-Federal","josh hawley",199300
"US-Federal-2018",2018-09-17,"US","US-Federal","josh hawley",165500
"US-Federal-2018",2018-09-10,"US","US-Federal","aclu",108900
"US-Federal-2018",2018-09-03,"US","US-Federal","aclu",108400
"US-Federal-2018",2018-08-27,"US","US-Federal","diane black",95800
"US-Federal-2018",2018-08-13,"US","US-Federal","rick scott",37500
"US-Federal-2018",2019-12-02,"US","US-Federal","beto o rourke",1491100
"US-Federal-2018",2019-11-25,"US","US-Federal","beto o rourke",1479900
"US-Federal-2018",2019-11-20,"US","US-Federal","donald trump",1469600
"US-Federal-2018",2019-11-18,"US","US-Federal","donald trump",1466600
"US-Federal-2018",2019-11-11,"US","US-Federal","donald trump",1452300
"US-Federal-2018",2019-11-04,"US","US-Federal","donald trump",1430200
"US-Federal-2018",2019-10-28,"US","US-Federal","donald trump",1408200
"US-Federal-2018",2019-10-21,"US","US-Federal","donald trump",1385600
"US-Federal-2018",2019-10-14,"US","US-Federal","tulsi gabbard",1337200
"US-Federal-2018",2019-10-07,"US","US-Federal","donald trump",1284900
"US-Federal-2018",2019-09-30,"US","US-Federal","joe biden",1243600
"US-Federal-2018",2019-09-23,"US","US-Federal","joe biden",1210900
"US-Federal-2018",2019-09-16,"US","US-Federal","joe biden",1160700
"US-Federal-2018",2019-09-02,"US","US-Federal","joe biden",1026700
"US-Federal-2018",2019-08-26,"US","US-Federal","joe biden",979600
"US-Federal-2018",2019-08-19,"US","US-Federal","joe biden",928700
"US-Federal-2018",2019-08-12,"US","US-Federal","joe biden",869600
"US-Federal-2018",2019-08-05,"US","US-Federal","joe biden",828200
"US-Federal-2018",2019-07-29,"US","US-Federal","rick scott",745000
"US-Federal-2018",2019-07-22,"US","US-Federal","rick scott",726100
"US-Federal-2018",2019-07-15,"US","US-Federal","rick scott",704600
"US-Federal-2018",2019-07-08,"US","US-Federal","rick scott",679800
"US-Federal-2018",2019-07-01,"US","US-Federal","rick scott",658200
"US-Federal-2018",2019-06-24,"US","US-Federal","kamala harris",639200
"US-Federal-2018",2019-06-17,"US","US-Federal","kamala harris",639100
"US-Federal-2018",2019-06-10,"US","US-Federal","kamala harris",639100
"US-Federal-2018",2019-06-03,"US","US-Federal","aclu",639000
"US-Federal-2018",2019-05-27,"US","US-Federal","aclu",637800
"US-Federal-2018",2019-05-20,"US","US-Federal","aclu",635300
"US-Federal-2018",2019-05-13,"US","US-Federal","aclu",632100
"US-Federal-2018",2019-05-06,"US","US-Federal","aclu",630800
"US-Federal-2018",2019-04-29,"US","US-Federal","aclu",629600
"US-Federal-2018",2019-04-22,"US","US-Federal","aclu",627800
"US-Federal-2018",2019-04-15,"US","US-Federal","ted cruz",626600
"US-Federal-2018",2019-04-08,"US","US-Federal","vote",625000
"US-Federal-2018",2019-04-01,"US","US-Federal","ted cruz",622600
"US-Federal-2018",2019-03-25,"US","US-Federal","vote",620400
"US-Federal-2018",2019-03-24,"US","US-Federal","vote",614700
"US-Federal-2018",2019-03-18,"US","US-Federal","ted cruz",559600
"US-Federal-2018",2019-03-11,"US","US-Federal","vote",496400
"US-Federal-2018",2019-02-24,"US","US-Federal","heidi heitkamp",494600
"US-Federal-2018",2019-02-18,"US","US-Federal","heidi heitkamp",494600
"US-Federal-2018",2019-02-11,"US","US-Federal","heidi heitkamp",494600
"US-Federal-2018",2019-02-04,"US","US-Federal","heidi heitkamp",494600
"US-Federal-2018",2019-01-28,"US","US-Federal","heidi heitkamp",494600
"US-Federal-2018",2019-01-21,"US","US-Federal","heidi heitkamp",494600
"US-Federal-2018",2019-01-14,"US","US-Federal","heidi heitkamp",494600
"US-Federal-2018",2019-01-07,"US","US-Federal","josh hawley",494600
"US-Federal-2018",2018-12-10,"US","US-Federal","beto",490200
"US-Federal-2018",2018-12-03,"US","US-Federal","josh hawley",494600
"US-Federal-2018",2018-11-26,"US","US-Federal","heidi heitkamp",494600
"US-Federal-2018",2018-11-19,"US","US-Federal","heidi heitkamp",494600
"US-Federal-2018",2018-11-12,"US","US-Federal","heidi heitkamp",494600
"US-Federal-2018",2018-11-05,"US","US-Federal","heidi heitkamp",490400
"US-Federal-2018",2018-10-29,"US","US-Federal","heidi heitkamp",464600
"US-Federal-2018",2018-10-22,"US","US-Federal","heidi heitkamp",390900
"US-Federal-2018",2018-10-15,"US","US-Federal","beto",330700
"US-Federal-2018",2018-10-09,"US","US-Federal","josh hawley",287300
"US-Federal-2018",2018-10-01,"US","US-Federal","bill nelson",232000
"US-Federal-2018",2018-09-24,"US","US-Federal","bill nelson",199300
"US-Federal-2018",2018-09-17,"US","US-Federal","diane black",165500
"US-Federal-2018",2018-09-10,"US","US-Federal","diane black",108900
"US-Federal-2018",2018-09-03,"US","US-Federal","diane black",108400
"US-Federal-2018",2018-08-27,"US","US-Federal","beto o rourke",95800
"US-Federal-2018",2018-08-13,"US","US-Federal","bill nelson",37500
"US-Federal-2018",2019-12-02,"US","US-Federal","elizabeth warren",1403700
